time,s32
2023-07-24 00:00:02,570.97
2023-07-24 00:00:03,570.97
2023-07-24 00:00:04,570.97
2023-07-24 00:00:05,570.97
2023-07-24 00:00:10,570.97
2023-07-24 00:00:11,570.97
2023-07-24 00:00:12,570.97
2023-07-24 00:00:13,570.97
2023-07-24 00:00:18,570.97
2023-07-24 00:00:19,570.97
2023-07-24 00:00:20,570.97
2023-07-24 00:00:21,570.97
2023-07-24 00:00:26,570.97
2023-07-24 00:00:27,570.97
2023-07-24 00:00:28,570.97
2023-07-24 00:00:29,570.97
2023-07-24 00:00:34,570.97
2023-07-24 00:00:35,570.97
2023-07-24 00:00:36,570.97
2023-07-24 00:00:37,570.97
2023-07-24 00:00:42,570.97
2023-07-24 00:00:43,570.97
2023-07-24 00:00:44,570.97
2023-07-24 00:00:45,570.97
2023-07-24 00:00:50,570.97
2023-07-24 00:00:51,570.97
2023-07-24 00:00:52,570.97
2023-07-24 00:00:53,570.97
2023-07-24 00:00:58,570.97
2023-07-24 00:00:59,570.97
2023-07-24 00:01:00,570.97
2023-07-24 00:01:01,570.97
2023-07-24 00:01:06,570.97
2023-07-24 00:01:07,570.97
2023-07-24 00:01:08,570.97
2023-07-24 00:01:09,570.97
2023-07-24 00:01:14,570.97
2023-07-24 00:01:15,570.97
2023-07-24 00:01:16,570.97
2023-07-24 00:01:17,570.97
2023-07-24 00:01:22,570.97
2023-07-24 00:01:23,570.97
2023-07-24 00:01:24,570.97
2023-07-24 00:01:25,570.97
2023-07-24 00:01:30,570.97
2023-07-24 00:01:31,570.97
2023-07-24 00:01:32,570.97
2023-07-24 00:01:33,570.97
2023-07-24 00:01:38,570.97
2023-07-24 00:01:39,570.97
2023-07-24 00:01:40,570.97
2023-07-24 00:01:41,570.97
2023-07-24 00:01:46,570.97
2023-07-24 00:01:47,570.97
2023-07-24 00:01:48,570.97
2023-07-24 00:01:49,570.97
2023-07-24 00:01:54,570.97
2023-07-24 00:01:55,570.97
2023-07-24 00:01:56,570.97
2023-07-24 00:01:57,570.97
2023-07-24 00:02:02,570.97
2023-07-24 00:02:03,570.97
2023-07-24 00:02:04,570.97
2023-07-24 00:02:05,570.97
2023-07-24 00:02:10,570.97
2023-07-24 00:02:11,570.97
2023-07-24 00:02:12,570.97
2023-07-24 00:02:13,570.97
2023-07-24 00:02:20,570.97
2023-07-24 00:02:21,570.97
2023-07-24 00:02:26,570.97
2023-07-24 00:02:27,570.97
2023-07-24 00:02:28,570.97
2023-07-24 00:02:29,570.97
2023-07-24 00:02:34,570.97
2023-07-24 00:02:35,570.97
2023-07-24 00:02:36,570.97
2023-07-24 00:02:37,570.97
2023-07-24 00:02:42,570.97
2023-07-24 00:02:43,570.97
2023-07-24 00:02:50,570.97
2023-07-24 00:02:51,570.97
2023-07-24 00:02:52,570.97
2023-07-24 00:02:53,570.97
2023-07-24 00:02:58,570.97
2023-07-24 00:02:59,570.97
2023-07-24 00:03:00,570.97
2023-07-24 00:03:01,570.97
2023-07-24 00:03:06,570.97
2023-07-24 00:03:07,570.97
2023-07-24 00:03:08,570.97
2023-07-24 00:03:09,570.97
2023-07-24 00:03:16,570.97
2023-07-24 00:03:17,570.97
2023-07-24 00:03:22,570.97
2023-07-24 00:03:23,570.97
2023-07-24 00:04:12,570.97
2023-07-24 00:04:13,570.97
2023-07-24 00:04:14,570.97
2023-07-24 00:04:15,570.97
2023-07-24 00:04:16,570.97
2023-07-24 00:04:17,570.97
2023-07-24 00:04:22,570.97
2023-07-24 00:04:23,570.97
2023-07-24 00:04:24,570.97
2023-07-24 00:04:25,570.97
2023-07-24 00:04:30,570.97
2023-07-24 00:04:31,570.97
2023-07-24 00:04:32,570.97
2023-07-24 00:04:33,570.97
2023-07-24 00:04:38,570.97
2023-07-24 00:04:39,570.97
2023-07-24 00:04:40,570.97
2023-07-24 00:04:41,570.97
2023-07-24 00:04:46,570.97
2023-07-24 00:04:47,570.97
2023-07-24 00:04:48,570.97
2023-07-24 00:04:49,570.97
2023-07-24 00:04:54,570.97
2023-07-24 00:04:55,570.97
2023-07-24 00:04:56,570.97
2023-07-24 00:04:57,570.97
2023-07-24 00:05:06,570.97
2023-07-24 00:05:07,570.97
2023-07-24 00:05:08,570.97
2023-07-24 00:05:09,570.97
2023-07-24 00:05:16,570.97
2023-07-24 00:05:17,570.97
2023-07-24 00:05:18,570.97
2023-07-24 00:05:19,570.97
2023-07-24 00:05:24,570.97
2023-07-24 00:05:25,570.97
2023-07-24 00:05:26,570.97
2023-07-24 00:05:27,570.97
2023-07-24 00:05:32,570.97
2023-07-24 00:05:33,570.97
2023-07-24 00:05:34,570.97
2023-07-24 00:05:35,570.97
2023-07-24 00:05:40,570.97
2023-07-24 00:05:41,570.97
2023-07-24 00:05:42,570.97
2023-07-24 00:05:43,570.97
2023-07-24 00:05:48,570.97
2023-07-24 00:05:49,570.97
2023-07-24 00:05:50,570.97
2023-07-24 00:05:51,570.97
2023-07-24 00:05:56,570.97
2023-07-24 00:05:57,570.97
2023-07-24 00:05:58,570.97
2023-07-24 00:05:59,570.97
2023-07-24 00:06:04,570.97
2023-07-24 00:06:05,570.97
2023-07-24 00:06:06,570.97
2023-07-24 00:06:07,570.97
2023-07-24 00:06:12,570.97
2023-07-24 00:06:13,570.97
2023-07-24 00:06:14,570.97
2023-07-24 00:06:15,570.97
2023-07-24 00:06:24,570.97
2023-07-24 00:06:25,570.97
2023-07-24 00:06:26,570.97
2023-07-24 00:06:27,570.97
2023-07-24 00:06:32,570.97
2023-07-24 00:06:33,570.97
2023-07-24 00:06:34,570.97
2023-07-24 00:06:35,570.97
2023-07-24 00:06:40,570.97
2023-07-24 00:06:41,570.97
2023-07-24 00:06:42,570.97
2023-07-24 00:06:43,570.97
2023-07-24 00:06:48,570.97
2023-07-24 00:06:49,570.97
2023-07-24 00:06:50,570.97
2023-07-24 00:06:51,570.97
