time,s19
2023-07-24 00:00:02,563.07
2023-07-24 00:00:03,563.07
2023-07-24 00:00:04,563.07
2023-07-24 00:00:05,563.07
2023-07-24 00:00:10,563.07
2023-07-24 00:00:11,563.07
2023-07-24 00:00:12,563.07
2023-07-24 00:00:13,563.07
2023-07-24 00:00:18,563.07
2023-07-24 00:00:19,563.07
2023-07-24 00:00:20,563.07
2023-07-24 00:00:21,563.07
2023-07-24 00:00:26,563.07
2023-07-24 00:00:27,563.07
2023-07-24 00:00:28,563.07
2023-07-24 00:00:29,563.07
2023-07-24 00:00:34,563.07
2023-07-24 00:00:35,563.07
2023-07-24 00:00:36,563.07
2023-07-24 00:00:37,563.07
2023-07-24 00:00:42,563.07
2023-07-24 00:00:43,563.07
2023-07-24 00:00:44,563.07
2023-07-24 00:00:45,563.07
2023-07-24 00:00:50,563.07
2023-07-24 00:00:51,563.07
2023-07-24 00:00:52,563.07
2023-07-24 00:00:53,563.07
2023-07-24 00:00:58,563.07
2023-07-24 00:00:59,563.07
2023-07-24 00:01:00,563.07
2023-07-24 00:01:01,563.07
2023-07-24 00:01:06,563.07
2023-07-24 00:01:07,563.07
2023-07-24 00:01:08,563.07
2023-07-24 00:01:09,563.07
2023-07-24 00:01:14,563.07
2023-07-24 00:01:15,563.07
2023-07-24 00:01:16,563.07
2023-07-24 00:01:17,563.07
2023-07-24 00:01:22,563.07
2023-07-24 00:01:23,563.07
2023-07-24 00:01:24,563.07
2023-07-24 00:01:25,563.07
2023-07-24 00:01:30,563.07
2023-07-24 00:01:31,563.07
2023-07-24 00:01:32,563.07
2023-07-24 00:01:33,563.07
2023-07-24 00:01:38,563.07
2023-07-24 00:01:39,563.07
2023-07-24 00:01:40,563.07
2023-07-24 00:01:41,563.07
2023-07-24 00:01:46,563.07
2023-07-24 00:01:47,563.07
2023-07-24 00:01:48,563.07
2023-07-24 00:01:49,563.07
2023-07-24 00:01:54,563.07
2023-07-24 00:01:55,563.07
2023-07-24 00:01:56,563.07
2023-07-24 00:01:57,563.07
2023-07-24 00:02:02,563.07
2023-07-24 00:02:03,563.07
2023-07-24 00:02:04,563.07
2023-07-24 00:02:05,563.07
2023-07-24 00:02:10,563.07
2023-07-24 00:02:11,563.07
